date,cemas,pandemi,bosan,depresi,stres,pandemi_rt,bos_rt,stres_rt,cemas_rt,depr_rt,pand_all,bos_all,cemas_all,depresi_all,stres_all
2020-01-01,328,1,1826,419,558,0,8530,431,3671,3465,1,10356,3999,3884,989
2020-01-02,258,1,1781,322,516,0,4518,194,169,1188,1,6299,427,1510,710
2020-01-03,297,0,1753,382,501,0,9421,358,1242,149,0,11174,1539,531,859
2020-01-04,306,0,1869,343,524,0,1038,73,10482,61,0,2907,10788,404,597
2020-01-05,247,0,1925,393,550,0,3430,3976,60,117,0,5355,307,510,4526
2020-01-06,311,0,1722,661,613,0,866,592,971,999,0,2588,1282,1660,1205
2020-01-07,271,0,1825,500,610,0,1488,3070,46,341,0,3313,317,841,3680
2020-01-08,285,1,1671,470,626,0,2503,1763,78,603,1,4174,363,1073,2389
2020-01-09,339,2,1868,436,567,0,11038,718,5668,1232,2,12906,6007,1668,1285
2020-01-10,285,1,1879,444,569,0,1573,501,72,666,1,3452,357,1110,1070
2020-01-11,230,0,1884,412,551,0,16315,2868,374,488,0,18199,604,900,3419
2020-01-12,249,1,2071,366,620,0,1663,373,83,396,1,3734,332,762,993
2020-01-13,288,3,1869,444,596,0,3593,9560,4871,1119,3,5462,5159,1563,10156
2020-01-14,304,1,1941,446,612,22,3838,1135,535,439,23,5779,839,885,1747
2020-01-15,276,0,1961,381,655,0,1250,5673,491,548,0,3211,767,929,6328
2020-01-16,267,0,2016,386,581,0,2081,205,570,942,0,4097,837,1328,786
2020-01-17,271,1,1951,415,702,0,2503,1025,37,3836,1,4454,308,4251,1727
2020-01-18,273,0,2130,813,722,0,21486,304,3226,1423,0,23616,3499,2236,1026
2020-01-19,292,0,2185,677,706,0,2049,458,63,6621,0,4234,355,7298,1164
2020-01-20,287,1,1994,512,678,0,1211,302,4574,817,1,3205,4861,1329,980
2020-01-21,292,1,2069,500,645,0,2293,595,336,530,1,4362,628,1030,1240
2020-01-22,275,3,1945,469,696,0,707,242,327,304,3,2652,602,773,938
2020-01-23,262,21,2266,448,641,112,1524,426,69,247,133,3790,331,695,1067
2020-01-24,251,11,2254,408,564,66,3812,286,90,279,77,6066,341,687,850
2020-01-25,241,37,2102,432,671,235,1602,296,471,374,272,3704,712,806,967
2020-01-26,419,65,2000,467,677,271,19274,507,988,1473,336,21274,1407,1940,1184
2020-01-27,414,51,2067,430,650,117,3610,399,598,944,168,5677,1012,1374,1049
2020-01-28,341,28,2038,465,675,14,4773,1174,670,163,42,6811,1011,628,1849
2020-01-29,362,13,1972,383,665,15,2876,453,907,353,28,4848,1269,736,1118
2020-01-30,311,19,2039,449,594,10,1833,198,164,974,29,3872,475,1423,792
2020-01-31,420,22,1891,455,639,51,3484,886,3390,377,73,5375,3810,832,1525
2020-02-01,342,21,2087,420,675,9,1928,237,667,517,30,4015,1009,937,912
2020-02-02,379,12,2008,363,637,25,1454,162,429,109,37,3462,808,472,799
2020-02-03,309,12,1875,326,564,24,24133,1094,966,124,36,26008,1275,450,1658
2020-02-04,319,20,1911,404,618,25,4991,1505,111,301,45,6902,430,705,2123
2020-02-05,476,17,1945,401,582,19,755,472,125,195,36,2700,601,596,1054
2020-02-06,368,25,1876,357,658,16,1986,158,2064,165,41,3862,2432,522,816
2020-02-07,315,10,1862,416,596,6,1120,119,59,1002,16,2982,374,1418,715
2020-02-08,412,13,2005,391,607,2,2842,319,489,581,15,4847,901,972,926
2020-02-09,348,7,2163,407,1115,15,1581,892,979,1132,22,3744,1327,1539,2007
2020-02-10,553,7,1770,406,968,9,623,1537,291,2286,16,2393,844,2692,2505
2020-02-11,473,9,1858,507,764,92,6566,161,202,1188,101,8424,675,1695,925
2020-02-12,295,5,1925,659,715,0,1252,1591,63,892,5,3177,358,1551,2306
2020-02-13,265,10,1962,758,674,22,2449,163,85,3002,32,4411,350,3760,837
2020-02-14,323,5,1887,1048,587,8,7825,238,148,12491,13,9712,471,13539,825
2020-02-15,261,4,1962,728,579,10,8160,256,93,778,14,10122,354,1506,835
2020-02-16,313,7,1932,732,625,7,22837,505,365,2538,14,24769,678,3270,1130
2020-02-17,457,8,1919,525,636,3,1812,375,3397,176,11,3731,3854,701,1011
2020-02-18,293,8,1689,456,572,13,1769,850,149,280,21,3458,442,736,1422
2020-02-19,368,5,1746,485,665,0,18769,3931,609,1318,5,20515,977,1803,4596
2020-02-20,269,2,1802,399,648,65,2186,8206,148,596,67,3988,417,995,8854
2020-02-21,315,10,1762,564,683,0,3906,11150,145,2535,10,5668,460,3099,11833
2020-02-22,251,6,1950,445,621,1,1938,979,3963,124,7,3888,4214,569,1600
2020-02-23,344,8,1937,787,751,0,7133,1283,240,20127,8,9070,584,20914,2034
2020-02-24,304,14,1859,797,664,141,11377,433,484,3270,155,13236,788,4067,1097
2020-02-25,361,39,1866,914,719,62,1271,1089,241,2996,101,3137,602,3910,1808
2020-02-26,283,53,1847,557,727,177,8443,489,247,481,230,10290,530,1038,1216
2020-02-27,301,59,1900,529,704,339,1953,186,212,4632,398,3853,513,5161,890
2020-02-28,344,65,1875,646,654,138,2326,201,173,1754,203,4201,517,2400,855
2020-02-29,350,66,2255,729,616,245,17453,1631,348,587,311,19708,698,1316,2247
2020-03-01,344,62,2292,658,682,156,14016,258,4536,462,218,16308,4880,1120,940
2020-03-02,470,112,1867,454,699,310,4966,2598,2496,634,422,6833,2966,1088,3297
2020-03-03,711,108,1864,525,638,68,16766,321,648,326,176,18630,1359,851,959
2020-03-04,363,62,1831,519,704,143,4184,438,1982,275,205,6015,2345,794,1142
2020-03-05,408,37,1771,530,670,37,1181,557,349,256,74,2952,757,786,1227
2020-03-06,484,24,1767,535,591,3,1164,459,400,456,27,2931,884,991,1050
2020-03-07,274,28,1994,671,613,88,1293,322,560,878,116,3287,834,1549,935
2020-03-08,348,32,2013,557,662,11,1104,1155,641,1390,43,3117,989,1947,1817
2020-03-09,284,26,1898,677,673,92,1183,632,700,237,118,3081,984,914,1305
2020-03-10,290,65,1946,649,633,128,1545,306,480,474,193,3491,770,1123,939
2020-03-11,345,86,1996,704,664,470,25130,1501,1317,1096,556,27126,1662,1800,2165
2020-03-12,386,1325,1959,635,661,20248,3512,272,846,5092,21573,5471,1232,5727,933
2020-03-13,457,1484,2027,686,735,14431,6243,278,4090,1288,15915,8270,4547,1974,1013
2020-03-14,577,1762,2382,551,860,22536,1092,890,2018,140,24298,3474,2595,691,1750
2020-03-15,603,1896,2484,507,862,18354,1260,1744,2303,317,20250,3744,2906,824,2606
2020-03-16,661,2114,2989,527,793,33013,11555,1242,3376,269,35127,14544,4037,796,2035
2020-03-17,633,2480,3717,470,866,23688,11397,608,4998,273,26168,15114,5631,743,1474
2020-03-18,624,3179,5553,534,934,21656,35841,499,1503,266,24835,41394,2127,800,1433
2020-03-19,597,2883,6960,500,1063,15283,20233,6581,2133,210,18166,27193,2730,710,7644
2020-03-20,580,2970,8063,507,969,14323,42350,320,1374,3557,17293,50413,1954,4064,1289
2020-03-21,568,3688,9449,573,1030,28488,30822,1429,1251,1832,32176,40271,1819,2405,2459
2020-03-22,784,4656,8905,636,1081,41713,55099,1874,4830,2033,46369,64004,5614,2669,2955
2020-03-23,855,5322,8713,616,1184,34883,33672,6906,2206,32475,40205,42385,3061,33091,8090
2020-03-24,814,4369,8173,849,1248,29935,45118,4055,2147,232,34304,53291,2961,1081,5303
2020-03-25,750,4018,10336,707,1187,20288,31249,843,30796,442,24306,41585,31546,1149,2030
2020-03-26,678,4291,8774,812,1367,23261,15390,2088,1986,569,27552,24164,2664,1381,3455
2020-03-27,698,4645,7659,864,1327,29450,17662,11534,949,907,34095,25321,1647,1771,12861
2020-03-28,794,5187,7827,1303,1323,31642,44230,1759,4760,416,36829,52057,5554,1719,3082
2020-03-29,671,4989,7616,897,1359,19848,23806,790,1311,374,24837,31422,1982,1271,2149
2020-03-30,622,5536,6905,716,1193,24144,12990,539,4207,398,29680,19895,4829,1114,1732
2020-03-31,559,6153,6784,695,1204,31538,35470,1199,1552,1105,37691,42254,2111,1800,2403
2020-04-01,522,6962,6408,578,1122,20736,42434,739,2457,773,27698,48842,2979,1351,1861
2020-04-02,515,7268,6287,1154,1274,24912,6833,1254,1355,673,32180,13120,1870,1827,2528
2020-04-03,446,6050,5963,641,1104,20444,7473,856,2068,961,26494,13436,2514,1602,1960
2020-04-04,1736,6621,6699,572,1078,33723,29807,918,2099,131,40344,36506,3835,703,1996
2020-04-05,514,5293,7282,674,1152,21758,31041,2377,1244,1173,27051,38323,1758,1847,3529
2020-04-06,492,7577,6455,660,1284,24835,16467,6808,1150,88,32412,22922,1642,748,8092
2020-04-07,466,7559,6165,495,1066,29999,8068,350,857,346,37558,14233,1323,841,1416
2020-04-08,446,6608,5964,585,1094,15239,18876,815,3210,395,21847,24840,3656,980,1909
2020-04-09,434,6641,5758,573,995,18929,12914,2371,745,375,25570,18672,1179,948,3366
2020-04-10,474,6403,6482,621,1128,21670,10308,1988,1133,496,28073,16790,1607,1117,3116
2020-04-11,802,6112,6251,614,1062,16197,16121,451,2487,1084,22309,22372,3289,1698,1513
2020-04-12,580,5936,6218,741,1135,19470,5785,823,8319,810,25406,12003,8899,1551,1958
2020-04-13,489,8538,6245,685,1179,16907,18785,1222,830,786,25445,25030,1319,1471,2401
2020-04-14,456,7624,5515,718,1195,37425,30293,625,179,211,45049,35808,635,929,1820
2020-04-15,423,10469,5512,500,1087,22584,31691,1027,957,243,33053,37203,1380,743,2114
2020-04-16,427,8300,5335,647,1131,21478,7869,701,1176,513,29778,13204,1603,1160,1832
2020-04-17,418,9589,4985,544,1112,21449,3765,822,373,630,31038,8750,791,1174,1934
2020-04-18,389,7041,5115,635,1042,13816,6648,994,658,223,20857,11763,1047,858,2036
2020-04-19,426,9538,4904,968,1073,16039,7856,410,610,2883,25577,12760,1036,3851,1483
2020-04-20,439,11186,4741,1651,1100,18067,6740,455,395,17420,29253,11481,834,19071,1555
2020-04-21,424,15582,4645,841,1121,18770,6093,3061,451,455,34352,10738,875,1296,4182
2020-04-22,413,11081,4418,585,974,21199,3439,729,280,131,32280,7857,693,716,1703
2020-04-23,433,20399,3538,504,964,29694,11263,436,284,635,50093,14801,717,1139,1400
2020-04-24,414,9140,3354,444,759,25831,6298,184,279,5672,34971,9652,693,6116,943
2020-04-25,314,6898,3433,460,915,15035,4295,356,226,722,21933,7728,540,1182,1271
2020-04-26,323,6792,3847,494,871,19045,3293,438,119,191,25837,7140,442,685,1309
2020-04-27,389,8396,4028,492,942,14441,4529,356,203,530,22837,8557,592,1022,1298
2020-04-28,368,9164,4041,587,981,19440,17509,618,364,362,28604,21550,732,949,1599
2020-04-29,396,9255,3506,519,997,24901,24911,471,1499,222,34156,28417,1895,741,1468
2020-04-30,432,9301,4024,469,1043,28015,2119,459,865,331,37316,6143,1297,800,1502
2020-05-01,387,10813,3927,520,950,28839,4854,458,128,994,39652,8781,515,1514,1408
2020-05-02,430,9451,3820,687,1033,31627,6271,637,2213,23388,41078,10091,2643,24075,1670
2020-05-03,442,7774,3912,615,1249,15361,25898,1076,898,547,23135,29810,1340,1162,2325
2020-05-04,445,9589,3784,503,1133,21529,2918,1203,222,475,31118,6702,667,978,2336
2020-05-05,429,8639,3877,600,1190,18001,3559,568,135,600,26640,7436,564,1200,1758
2020-05-06,455,8770,3841,487,991,22758,3962,12944,198,171,31528,7803,653,658,13935
2020-05-07,419,8119,3686,808,990,17088,2703,337,281,2463,25207,6389,700,3271,1327
2020-05-08,406,8327,3696,559,1082,15468,1953,316,372,128,23795,5649,778,687,1398
2020-05-09,326,15035,3806,475,977,13264,8349,212,161,2861,28299,12155,487,3336,1189
2020-05-10,436,13893,3859,664,1108,13760,5305,811,694,608,27653,9164,1130,1272,1919
2020-05-11,466,9891,3744,894,1114,40850,3846,632,455,958,50741,7590,921,1852,1746
2020-05-12,418,13588,3733,911,1146,31203,9991,1208,116,279,44791,13724,534,1190,2354
2020-05-13,436,12082,3671,579,1070,29105,3082,550,299,3313,41187,6753,735,3892,1620
2020-05-14,439,15246,3628,611,1182,52314,2669,1500,590,546,67560,6297,1029,1157,2682
2020-05-15,434,15618,3715,616,1202,41913,3792,1371,1313,297,57531,7507,1747,913,2573
2020-05-16,406,9879,3668,608,1153,37463,15412,616,219,179,47342,19080,625,787,1769
2020-05-17,438,8631,3567,796,1140,24114,6184,338,40796,9684,32745,9751,41234,10480,1478
2020-05-18,578,13417,3818,738,1237,66439,4759,566,965,842,79856,8577,1543,1580,1803
2020-05-19,539,12985,3476,603,1118,22193,3524,945,245,573,35178,7000,784,1176,2063
2020-05-20,686,13080,3319,534,1087,35336,2218,338,812,332,48416,5537,1498,866,1425
2020-05-21,530,9567,3284,541,992,23925,1866,179,580,275,33492,5150,1110,816,1171
2020-05-22,457,11150,3247,481,1109,13928,9361,347,114,256,25078,12608,571,737,1456
2020-05-23,395,13073,2684,455,928,17350,980,222,620,229,30423,3664,1015,684,1150
2020-05-24,267,8737,2674,391,732,25670,14250,587,371,537,34407,16924,638,928,1319
2020-05-25,385,6796,3935,462,901,9998,5816,208,218,198,16794,9751,603,660,1109
2020-05-26,428,8044,4123,513,1028,32189,2504,258,2134,2159,40233,6627,2562,2672,1286
2020-05-27,423,9459,4133,608,1063,16787,15343,820,153,692,26246,19476,576,1300,1883
2020-05-28,449,9432,4100,554,1094,14308,15461,659,1455,184,23740,19561,1904,738,1753
2020-05-29,447,10772,4208,623,1068,21508,5824,371,233,329,32280,10032,680,952,1439
2020-05-30,517,7580,4469,551,1081,10575,3143,208,1155,904,18155,7612,1672,1455,1289
2020-05-31,480,9048,4378,634,1131,11130,8206,374,1259,142,20178,12584,1739,776,1505
2020-06-01,413,8733,3854,692,1210,21658,3469,644,559,3415,30391,7323,972,4107,1854
2020-06-02,514,10430,3946,764,1181,14059,3816,15420,290,8449,24489,7762,804,9213,16601
2020-06-03,498,10838,3440,653,1264,23578,18333,1969,218,353,34416,21773,716,1006,3233
